Username,Full_name,Password,ID,email,Type,Balance
adam,Lawal Adam,1234,ba3559da-b491-4454-8359-a91ead68000e,adam@gmail.com,Student,50000.0
muiz,Lawal Muiz,1234,33d3366a-adc5-42fd-afa3-4cbc66a2abd0,muiz@gmail.com,Student,50000.0
adam,Lawal Adam,1234,ba3559da-b491-4454-8359-a91ead68000e,adam@gmail.com,Student,49750.0
muiz,Lawal Muiz,1234,33d3366a-adc5-42fd-afa3-4cbc66a2abd0,muiz@gmail.com,Student,50250.0
adam,Lawal Adam,1234,ba3559da-b491-4454-8359-a91ead68000e,adam@gmail.com,Student,49750.0
muiz,Lawal Muiz,1234,33d3366a-adc5-42fd-afa3-4cbc66a2abd0,muiz@gmail.com,Student,50250.0
jannat,Lawal Jannat,1234,4bd3d402-65b4-4a06-9911-acf791ba26b0,jannat@gmail.com,Normal,0.0
adam,Lawal Adam,1234,ba3559da-b491-4454-8359-a91ead68000e,adam@gmail.com,Student,49750.0
muiz,Lawal Muiz,1234,33d3366a-adc5-42fd-afa3-4cbc66a2abd0,muiz@gmail.com,Student,30250.0
jannat,Lawal Jannat,1234,4bd3d402-65b4-4a06-9911-acf791ba26b0,jannat@gmail.com,Normal,20000.0
adam,Lawal Adam,1234,ba3559da-b491-4454-8359-a91ead68000e,adam@gmail.com,Student,48516.0
muiz,Lawal Muiz,1234,33d3366a-adc5-42fd-afa3-4cbc66a2abd0,muiz@gmail.com,Student,30250.0
jannat,Lawal Jannat,1234,4bd3d402-65b4-4a06-9911-acf791ba26b0,jannat@gmail.com,Normal,21234.0
adam,Lawal Adam,1234,ba3559da-b491-4454-8359-a91ead68000e,adam@gmail.com,Student,48316.0
muiz,Lawal Muiz,1234,33d3366a-adc5-42fd-afa3-4cbc66a2abd0,muiz@gmail.com,Student,30250.0
jannat,Lawal Jannat,1234,4bd3d402-65b4-4a06-9911-acf791ba26b0,jannat@gmail.com,Normal,21434.0
adam,Lawal Adam,1234,ba3559da-b491-4454-8359-a91ead68000e,adam@gmail.com,Student,48066.0
muiz,Lawal Muiz,1234,33d3366a-adc5-42fd-afa3-4cbc66a2abd0,muiz@gmail.com,Student,30500.0
jannat,Lawal Jannat,1234,4bd3d402-65b4-4a06-9911-acf791ba26b0,jannat@gmail.com,Normal,21434.0
adam,Lawal Adam,1234,ba3559da-b491-4454-8359-a91ead68000e,adam@gmail.com,Student,47566.0
muiz,Lawal Muiz,1234,33d3366a-adc5-42fd-afa3-4cbc66a2abd0,muiz@gmail.com,Student,31000.0
jannat,Lawal Jannat,1234,4bd3d402-65b4-4a06-9911-acf791ba26b0,jannat@gmail.com,Normal,21434.0
adam,Lawal Adam,1234,ba3559da-b491-4454-8359-a91ead68000e,adam@gmail.com,Student,46566.0
muiz,Lawal Muiz,1234,33d3366a-adc5-42fd-afa3-4cbc66a2abd0,muiz@gmail.com,Student,32000.0
jannat,Lawal Jannat,1234,4bd3d402-65b4-4a06-9911-acf791ba26b0,jannat@gmail.com,Normal,21434.0
adam,Lawal Adam,1234,ba3559da-b491-4454-8359-a91ead68000e,adam@gmail.com,Student,78566.0
muiz,Lawal Muiz,1234,33d3366a-adc5-42fd-afa3-4cbc66a2abd0,muiz@gmail.com,Student,0.0
jannat,Lawal Jannat,1234,4bd3d402-65b4-4a06-9911-acf791ba26b0,jannat@gmail.com,Normal,21434.0
adam,Lawal Adam,1234,ba3559da-b491-4454-8359-a91ead68000e,adam@gmail.com,Student,43566.0
muiz,Lawal Muiz,1234,33d3366a-adc5-42fd-afa3-4cbc66a2abd0,muiz@gmail.com,Student,35000.0
jannat,Lawal Jannat,1234,4bd3d402-65b4-4a06-9911-acf791ba26b0,jannat@gmail.com,Normal,21434.0
